epoca,val_auc_roc,val_accuracy,perdida_discriminador,perdida_xerador,is_best
2,0.7618426632996633,0.45695969462394714,1.216239094734192,0.9478408098220825,1
4,0.7561545016835016,0.46882784366607666,1.1345880031585693,1.142351508140564,0
6,0.784813505050505,0.472820520401001,1.121185302734375,1.1119648218154907,1
8,0.7748450707070706,0.46652016043663025,1.1337635517120361,1.1556997299194336,0
10,0.7705748585858586,0.46296703815460205,1.1470693349838257,1.1807811260223389,0
