epoca,val_auc_roc,val_accuracy,perdida_discriminador,perdida_xerador,is_best
10,0.5323648114478114,0.2751648426055908,8.610193252563477,0.6889358758926392,1
20,0.5216403905723905,0.427142858505249,5.715025424957275,0.683225691318512,0
30,0.4819270538720539,0.5548351407051086,3.763583183288574,0.6780275106430054,0
40,0.5183532895622895,0.6625275015830994,2.2900710105895996,0.6740921139717102,0
50,0.5830585555555554,0.7180219888687134,1.8162155151367188,0.6711413264274597,1
60,0.5872185925925926,0.7180585861206055,1.7190728187561035,0.6688119769096375,1
70,0.5910871144781145,0.7166300415992737,1.6753031015396118,0.6663222312927246,1
80,0.5946991313131313,0.7227838635444641,1.6575474739074707,0.6638769507408142,1
90,0.5862727643097643,0.7116117477416992,1.658955693244934,0.6612844467163086,0
100,0.5943210942760943,0.7121245265007019,1.630335807800293,0.6589822173118591,0
110,0.5990294713804714,0.7134066224098206,1.6083800792694092,0.6564952731132507,1
120,0.629008478114478,0.715238094329834,1.6106014251708984,0.6541106700897217,1
130,0.6493790572390573,0.7305494546890259,1.5763366222381592,0.6520814299583435,1
140,0.6555805286195286,0.7576923370361328,1.5806721448898315,0.6498983502388,1
150,0.6521064444444444,0.7367765307426453,1.5656095743179321,0.6481643319129944,0
160,0.6638261818181819,0.7368864417076111,1.553558349609375,0.6465727090835571,1
170,0.6693978451178451,0.7645421028137207,1.557373046875,0.6450727581977844,1
180,0.6732284511784512,0.7644688487052917,1.561887502670288,0.6439635157585144,1
190,0.6777876531986533,0.7640659213066101,1.5365972518920898,0.643817126750946,1
200,0.6836401582491582,0.7669597268104553,1.5374646186828613,0.64408940076828,1
210,0.6887385151515151,0.766336977481842,1.5157678127288818,0.6447504162788391,1
220,0.6969693872053873,0.7660073041915894,1.5159475803375244,0.6450605392456055,1
230,0.6936697744107745,0.7631135582923889,1.514357089996338,0.6449863314628601,0
240,0.6897596666666668,0.7632234692573547,1.520266056060791,0.6448137164115906,0
250,0.6928183333333333,0.7656776309013367,1.514331340789795,0.644964337348938,0
260,0.6949276296296296,0.7728205323219299,1.513547420501709,0.64475417137146,0
270,0.7001290572390573,0.7797436118125916,1.4925258159637451,0.6453510522842407,1
280,0.7002614175084175,0.7797436118125916,1.5114861726760864,0.6453539729118347,1
290,0.7000422154882154,0.7779487371444702,1.5008180141448975,0.645408570766449,0
300,0.7041182828282829,0.7791575193405151,1.499316930770874,0.6446902751922607,1
310,0.7050449461279462,0.7773259878158569,1.5008138418197632,0.6448425650596619,1
320,0.7037097979797979,0.7765201330184937,1.4751145839691162,0.6453987956047058,0
330,0.7050367744107744,0.7790842652320862,1.4879634380340576,0.6468315124511719,0
