epoca,val_auc_roc,val_accuracy,perdida_discriminador,perdida_xerador,is_best
20,0.7786195892255892,0.4777655601501465,1.2561635971069336,0.8137191534042358,1
40,0.8078925723905725,0.741428554058075,1.184821367263794,0.8308477997779846,1
60,0.8006075622895623,0.4817216098308563,1.1365110874176025,0.984257161617279,0
80,0.7556461447811448,0.47721612453460693,1.1264399290084839,1.1890394687652588,0
100,0.8181298956228956,0.480989009141922,1.1223018169403076,1.1232911348342896,1
120,0.7857140404040404,0.4845421314239502,1.0856781005859375,1.22174072265625,0
140,0.7744853030303032,0.4882417619228363,1.0868055820465088,1.251991868019104,0
160,0.7958804983164983,0.487435907125473,1.069643497467041,1.2024152278900146,0
180,0.794329946127946,0.47901099920272827,1.085083246231079,1.196902871131897,0
200,0.7878932794612796,0.4746153950691223,1.1108065843582153,1.218491554260254,0
220,0.7953529225589224,0.47197800874710083,1.0597116947174072,1.2100082635879517,0
240,0.7887590808080809,0.46820512413978577,1.0636779069900513,1.1900883913040161,0
260,0.7965904276094276,0.47102564573287964,1.0711231231689453,1.1942687034606934,0
280,0.797079047138047,0.4631868004798889,1.088785171508789,1.196373701095581,0
300,0.7949711144781144,0.459780216217041,1.0850811004638672,1.17964768409729,0
320,0.806265,0.4639926850795746,1.0637321472167969,1.177525520324707,0
340,0.8055833333333333,0.46315017342567444,1.0693130493164062,1.1644428968429565,0
360,0.8122325690235691,0.4620878994464874,1.0663301944732666,1.1762444972991943,0
380,0.8312385353535354,0.46608057618141174,1.0541796684265137,1.1638973951339722,1
400,0.8335300774410774,0.4644322395324707,1.051925539970398,1.165157675743103,1
420,0.8383070303030302,0.4647619128227234,1.0740957260131836,1.176353096961975,1
440,0.839443228956229,0.4669230878353119,1.0407207012176514,1.1701769828796387,1
460,0.8540637710437711,0.4655311405658722,1.036583423614502,1.1760752201080322,1
480,0.8595507811447811,0.4820879101753235,1.0715471506118774,1.19651460647583,1
500,0.8521989966329967,0.4779120981693268,1.028669834136963,1.1923484802246094,0
520,0.859315707070707,0.4859340786933899,1.0250442028045654,1.1824623346328735,0
540,0.8565096565656566,0.48029303550720215,1.0201152563095093,1.194259524345398,0
560,0.8616518148148149,0.5121611952781677,1.0304034948349,1.2037196159362793,1
580,0.8642862323232323,0.5126373767852783,1.0251092910766602,1.202007532119751,1
600,0.8698498316498315,0.5146153569221497,1.002482533454895,1.2067019939422607,1
620,0.8818520303030302,0.5203296542167664,0.9986187219619751,1.2082204818725586,1
640,0.875612090909091,0.5159340500831604,0.9939792156219482,1.2179596424102783,0
660,0.8715597575757577,0.517362654209137,0.986129641532898,1.2377711534500122,0
680,0.8767878215488216,0.5235897302627563,0.9972023367881775,1.2302168607711792,0
700,0.8745135420875422,0.5238461494445801,0.9842824935913086,1.2317899465560913,0
720,0.8839569259259259,0.5279120802879333,0.974516749382019,1.2444714307785034,1
740,0.883147202020202,0.525054931640625,0.9851185083389282,1.2536091804504395,0
760,0.8861185622895623,0.5294871926307678,0.9786061644554138,1.2445443868637085,1
780,0.8833399360269361,0.5302197933197021,0.9546009302139282,1.271064281463623,0
800,0.8893165117845118,0.5372527241706848,0.9487284421920776,1.2596399784088135,1
820,0.8908256296296297,0.5382417440414429,0.9584729671478271,1.2644500732421875,1
840,0.897772643097643,0.5462270975112915,0.9462865591049194,1.277686357498169,1
860,0.886248228956229,0.5467032790184021,0.9400700926780701,1.2738012075424194,0
880,0.8887023030303031,0.544651985168457,0.9522316455841064,1.3074411153793335,0
900,0.9045883164983164,0.550036609172821,0.9291860461235046,1.3167994022369385,1
920,0.9044496801346801,0.55663001537323,0.908872127532959,1.3251432180404663,0
940,0.9030523703703704,0.5557143092155457,0.9082440733909607,1.347694993019104,0
960,0.8879796498316498,0.5571795105934143,0.8995440006256104,1.3199326992034912,0
980,0.9051739158249159,0.5520879030227661,0.896434485912323,1.341925859451294,1
1000,0.9073006767676769,0.5601465106010437,0.894327700138092,1.3664264678955078,1
1020,0.9081846599326598,0.5624175667762756,0.8835124969482422,1.374068021774292,1
1040,0.9050309797979799,0.559816837310791,0.871891975402832,1.398603081703186,0
1060,0.9111875353535355,0.5626739859580994,0.8676779270172119,1.4046610593795776,1
1080,0.9114270538720539,0.571721613407135,0.8674699068069458,1.3994320631027222,1
1100,0.9073546565656566,0.5766666531562805,0.8519445657730103,1.4300190210342407,0
1120,0.9111779124579125,0.5808058381080627,0.8423606157302856,1.4459569454193115,0
1140,0.9153777272727274,0.5872893929481506,0.8306600451469421,1.463525652885437,1
1160,0.9107527037037038,0.59351646900177,0.8212656378746033,1.4596545696258545,0
1180,0.9150488181818182,0.5907325744628906,0.8233108520507812,1.4972333908081055,0
1200,0.9139763333333333,0.60329669713974,0.8198823928833008,1.4812222719192505,0
1220,0.9137731582491582,0.6051282286643982,0.7812802791595459,1.5325554609298706,0
1240,0.915862707070707,0.6059340834617615,0.7733932137489319,1.55629301071167,1
1260,0.9030565892255893,0.6121611595153809,0.7685484886169434,1.5572702884674072,0
1280,0.9173881784511784,0.6102197766304016,0.7590237259864807,1.567061424255371,1
1300,0.9132094074074074,0.6105127930641174,0.7662917375564575,1.5587481260299683,0
1320,0.9181430505050505,0.6117582321166992,0.7530140280723572,1.612186312675476,1
1340,0.9197169360269362,0.6228571534156799,0.7316735982894897,1.6363513469696045,1
1360,0.9217771212121212,0.6168131828308105,0.7579368352890015,1.568874478340149,1
1380,0.92075865993266,0.6199267506599426,0.7280411124229431,1.6559282541275024,0
1400,0.9190917171717172,0.6213186979293823,0.7425438165664673,1.5848199129104614,0
1420,0.9219154646464646,0.6247252821922302,0.703143298625946,1.7387903928756714,1
