window,max_nodes,best_mae,mae_reduction_pct
168,5,0.1674399204294717,0.0
168,10,0.149143047744897,10.927425573091826
168,15,0.1257852603948032,24.8773768691643
168,20,0.1201426490561124,28.247308797116666
168,25,0.1186762834489082,29.12306507043731
168,30,0.1154020327628712,31.07854299806579
168,35,0.1151449603287426,31.232074147309785
168,40,0.1135260391960818,32.19894102619289
168,45,0.1037367508882646,38.04538928220517
168,50,0.1032107241126244,38.3595478020438
168,55,0.1002368312144726,40.13564330574684
168,60,0.0958776803773821,42.7390552196498
168,65,0.0945301758945095,43.543824165679126
168,70,0.0919420746972107,45.08951362292474
168,75,0.0898913324118665,46.314276678284656
168,80,0.0876783157163458,47.63595474038865
168,85,0.0871282716639912,47.96445707779049
168,90,0.0862281337367249,48.50204567969469
168,95,0.0858522597752401,48.72652856317953
168,100,0.0831849538380558,50.31952139926237
168,105,0.0770225497513407,53.99988870408966
168,115,0.072250694305602,56.84977983727894
168,125,0.0743851925069895,55.57499530805039
168,135,0.0736566000608376,56.01013194946966
168,145,0.0736303792044443,56.025791809033635
168,150,0.0733013620343122,56.22229045122613
168,155,0.0717243265944728,57.164141973727105
168,165,0.0705785365391096,57.84844118530361
168,175,0.0702174324397658,58.064103076695815
168,185,0.0691392303639867,58.70803677722171
168,195,0.0683300841838844,59.19128245604602
168,200,0.0681596358895303,59.293079144623576
192,5,0.1667973953194947,0.0
192,10,0.1483454590886674,11.062484636215842
192,15,0.1250212368099956,25.046049687693436
192,20,0.1194653775848865,28.376952556090785
192,25,0.1181003208451489,29.195344676137307
192,30,0.1150203192741502,31.041897234766335
192,35,0.1148314482023451,31.1551310604165
192,40,0.1132373493976658,32.11084071141306
192,45,0.1034143357806116,38.00002956729331
192,50,0.1029101829313764,38.302284196791284
192,55,0.1000234777404646,40.032949825821284
192,60,0.0957815051394566,42.5761385805873
192,65,0.0944470520941518,43.37618287549292
192,70,0.0919103453230081,44.897014040922535
192,75,0.0898077140734029,46.15760401930779
192,80,0.0876633477606921,47.443215409463704
192,85,0.0871271857536407,47.764660481207414
192,90,0.0862471613600407,48.29226128211582
192,95,0.0859031525869211,48.49850477438418
192,100,0.0832162158027789,50.10940330130391
192,105,0.077097993880963,53.777459334251326
192,115,0.072371675672412,56.61102768794049
192,125,0.0744261105032624,55.37933289623514
192,135,0.0737513131379746,55.78389398904791
192,145,0.0737318897220411,55.79553890466323
192,150,0.073417038817824,55.9843013872032
192,155,0.0718601449180283,56.917705591035975
192,165,0.0706826992182206,57.62361931202204
192,175,0.0704240748619418,57.778672306574755
192,185,0.06934106275274,58.427970280998956
192,195,0.06842416933287,58.97767515985136
192,200,0.0682553100641202,59.078911314304705
216,5,0.1664331519223061,0.0
216,10,0.1479697513710828,11.093583422515678
216,15,0.1246902967536578,25.08085359588371
216,20,0.1191773693479733,28.393251001094196
216,25,0.1178284196338066,29.203756419387553
216,30,0.1147880284030817,31.03055065816049
216,35,0.1146296173379083,31.1257306528573
216,40,0.1130465650143804,32.076894711966695
216,45,0.1032709637081992,37.95048491516408
216,50,0.1027811913119813,38.24476065924573
216,55,0.0999489955848275,39.94646233012192
216,60,0.0957061791689475,42.49572392066166
216,65,0.0943802966525885,43.292369601552174
216,70,0.0918432181295391,44.816752510693824
216,75,0.0897228215353818,46.09077548608466
216,80,0.0876074873392884,47.36175676094562
216,85,0.0870839370548947,47.67632767325887
216,90,0.0861919052276264,48.21229771105802
216,95,0.0858570760547871,48.41347708486187
216,100,0.0831695090649137,50.02827976018943
216,105,0.0770698771122012,53.69319380060844
216,115,0.0723603275512599,56.52288818934405
216,125,0.0743998776488009,55.29744117113635
216,135,0.0737349994795971,55.696927788750955
216,145,0.0737167365961205,55.7079008931269
216,150,0.073402667491065,55.89660674975942
216,155,0.0718492856383154,56.829943548833405
216,165,0.0706683544096967,57.53949643236588
216,175,0.070431039186723,57.682085345832164
216,185,0.069350364338432,58.33140000208254
216,195,0.0684090020567675,58.8970098405022
216,200,0.0682429412384994,58.99678612686708
240,5,0.1690309470663026,0.0
240,10,0.1506647025207349,10.865610625942654
240,15,0.127076061834482,24.820830717681382
240,20,0.1212538752919282,28.265280768754003
240,25,0.1196587603925925,29.2089629328905
240,30,0.1164523941979363,31.105873676340636
240,35,0.1160735220836268,31.33001731446442
240,40,0.1144080051034652,32.31534988762234
240,45,0.1043043689233664,38.29273826262543
