window,max_nodes,best_mae
168,5,0.1674399204294717
168,10,0.149143047744897
168,15,0.1257852603948032
168,20,0.1201426490561124
168,25,0.1186762834489082
168,30,0.1154020327628712
168,35,0.1151449603287426
168,40,0.1135260391960818
168,45,0.1037367508882646
168,50,0.1032107241126244
168,55,0.1002368312144726
168,60,0.0958776803773821
168,65,0.0945301758945095
168,70,0.0919420746972107
168,75,0.0898913324118665
168,80,0.0876783157163458
168,85,0.0871282716639912
168,90,0.0862281337367249
168,95,0.0858522597752401
168,100,0.0831849538380558
168,105,0.0770225497513407
168,115,0.072250694305602
168,125,0.0743851925069895
168,135,0.0736566000608376
168,145,0.0736303792044443
168,150,0.0733013620343122
168,155,0.0717243265944728
168,165,0.0705785365391096
168,175,0.0702174324397658
168,185,0.0691392303639867
168,195,0.0683300841838844
168,200,0.0681596358895303
192,5,0.1667973953194947
192,10,0.1483454590886674
192,15,0.1250212368099956
192,20,0.1194653775848865
192,25,0.1181003208451489
192,30,0.1150203192741502
192,35,0.1148314482023451
192,40,0.1132373493976658
192,45,0.1034143357806116
192,50,0.1029101829313764
192,55,0.1000234777404646
192,60,0.0957815051394566
192,65,0.0944470520941518
192,70,0.0919103453230081
192,75,0.0898077140734029
192,80,0.0876633477606921
192,85,0.0871271857536407
192,90,0.0862471613600407
192,95,0.0859031525869211
192,100,0.0832162158027789
192,105,0.077097993880963
192,115,0.072371675672412
192,125,0.0744261105032624
192,135,0.0737513131379746
192,145,0.0737318897220411
192,150,0.073417038817824
192,155,0.0718601449180283
192,165,0.0706826992182206
192,175,0.0704240748619418
192,185,0.06934106275274
192,195,0.06842416933287
192,200,0.0682553100641202
216,5,0.1664331519223061
216,10,0.1479697513710828
216,15,0.1246902967536578
216,20,0.1191773693479733
216,25,0.1178284196338066
216,30,0.1147880284030817
216,35,0.1146296173379083
216,40,0.1130465650143804
216,45,0.1032709637081992
216,50,0.1027811913119813
216,55,0.0999489955848275
216,60,0.0957061791689475
216,65,0.0943802966525885
216,70,0.0918432181295391
216,75,0.0897228215353818
216,80,0.0876074873392884
216,85,0.0870839370548947
216,90,0.0861919052276264
216,95,0.0858570760547871
216,100,0.0831695090649137
216,105,0.0770698771122012
216,115,0.0723603275512599
216,125,0.0743998776488009
216,135,0.0737349994795971
216,145,0.0737167365961205
216,150,0.073402667491065
216,155,0.0718492856383154
216,165,0.0706683544096967
216,175,0.070431039186723
216,185,0.069350364338432
216,195,0.0684090020567675
216,200,0.0682429412384994
240,5,0.1690309470663026
240,10,0.1506647025207349
240,15,0.127076061834482
240,20,0.1212538752919282
240,25,0.1196587603925925
240,30,0.1164523941979363
240,35,0.1160735220836268
240,40,0.1144080051034652
240,45,0.1043043689233664
240,50,0.1037127245765271
240,55,0.1004836281344963
240,60,0.0962424374375835
240,65,0.0948546671247669
240,70,0.0923215743075565
240,75,0.0903278770203716
240,80,0.0880039579293412
240,85,0.0873904350166253
240,90,0.0865837978733958
240,95,0.0861810472399494
240,100,0.083500369726575
240,105,0.0772680124423243
240,115,0.0724352141244749
240,125,0.0745825900637321
240,135,0.0738444910585756
240,145,0.0738176634720064
240,150,0.0734977061809091
240,155,0.0719178793541869
240,165,0.0707651551066149
240,175,0.0703700275518051
240,185,0.0692737401791183
240,195,0.0685156923050799
240,200,0.0683279632352005
264,5,0.166532042475202
264,10,0.1481915862231755
264,15,0.1249000998380702
264,20,0.1193570459414653
264,25,0.1179374806601463
264,30,0.1146646733478402
264,35,0.1144857707798443
264,40,0.1128763658584131
264,45,0.1032755601768314
264,50,0.1027659329434612
264,55,0.0999227024465398
264,60,0.0954827260480216
264,65,0.0941309576097724
264,70,0.0916263743824484
264,75,0.0895246384367923
264,80,0.0873702385042402
264,85,0.0868545066355234
264,90,0.085936173775014
264,95,0.0855846257332569
264,100,0.0829224197779918
264,105,0.0768470862472158
264,115,0.072102603637071
264,125,0.0741261490563978
264,135,0.0734354081563328
264,145,0.0734062810768765
264,150,0.073077790023686
264,155,0.0714882446156109
264,165,0.0704023261384797
264,175,0.0700103795238837
264,185,0.0689507276617447
264,195,0.0682129574566939
264,200,0.0680479499151033
