window,max_nodes,best_mse,mse_reduction_pct
168,5,0.0513208084208452,0.0
168,10,0.0450774379975571,12.165378168034092
168,15,0.0376915443260378,26.55699415925713
168,20,0.0363183591127956,29.232683135123782
168,25,0.03279336145106,36.10123756791762
168,30,0.0318955686838185,37.850611349950334
168,35,0.0296069494600559,42.31004855326808
168,40,0.0288253822505313,43.83295365467554
168,45,0.0232725017792267,54.652893250656575
168,50,0.0232427242907027,54.71091550213753
168,55,0.0213154772748744,58.466209066541914
168,60,0.0186346139627896,63.689944612757316
168,65,0.0183494223733948,64.24564823117296
168,70,0.0182195479239876,64.49871215086455
168,75,0.0178375054333318,65.24313240146337
168,80,0.0167561287724305,67.35022442548939
168,85,0.0146669764940757,71.42099482571994
168,90,0.0144117260360407,71.91835733010974
168,95,0.014230729516606,72.27103400260188
168,100,0.0130819895507344,74.50938527028185
168,105,0.0115949364835078,77.40694887651412
168,115,0.0100717369434506,80.37494487448542
168,125,0.0105576849170503,79.42806194619092
168,135,0.0099691081114338,80.57491996290418
168,145,0.0100149255476693,80.48564343424978
168,150,0.0099425724449312,80.62662543543881
168,155,0.0094275891664025,81.63008445016378
168,165,0.0093044134872076,81.8700956327329
168,175,0.0089563742536988,82.54825960601792
168,185,0.0087296016615702,82.99013220917139
168,195,0.0086788174918948,83.08908655388662
168,200,0.0086043087260457,83.23426892365387
192,5,0.0510294374800813,0.0
192,10,0.0447853036965726,12.236336694767642
192,15,0.0374372559946505,26.635961822499674
192,20,0.0360973852380651,29.26164382635952
192,25,0.0326032697371069,36.10889841802944
192,30,0.0317134204420822,37.85269442865965
192,35,0.0294493779173946,42.289432587043905
192,40,0.0286760953347405,43.8047982677962
192,45,0.0231805702778514,54.574121482527325
192,50,0.0231516592784554,54.630777014752795
192,55,0.0212168590966325,58.4223143652833
192,60,0.0185716088902525,63.60608737358373
192,65,0.0182881537528682,64.16156113810435
192,70,0.0181619846326747,64.40880885711506
192,75,0.017782507971094,65.15245150794543
192,80,0.0167131192331492,67.2480825608298
192,85,0.0146412575177444,71.30821298302685
192,90,0.0143916701983764,71.7973175698948
192,95,0.0142166758512795,72.14024580061499
192,100,0.0130722192468053,74.38298383769589
192,105,0.0116014409928092,77.26519913660096
192,115,0.0100975037374044,80.21239457843166
192,125,0.0105566011642086,79.31272284094992
192,135,0.0099798964209864,80.44286413135177
192,145,0.010026093952791,80.35233299072803
192,150,0.009955669967955,80.49033957734478
192,155,0.0094479022718297,81.48538816341535
192,165,0.0093293164889391,81.71777517128092
192,175,0.008990288526423,82.38215239991182
192,185,0.0087633934782212,82.82678800517469
192,195,0.0087122930931494,82.92692703784921
192,200,0.0086366355166672,83.07518964903659
216,5,0.0508765779388989,0.0
216,10,0.04464297074678,12.252410528878842
216,15,0.0373160709144521,26.653732569695485
216,20,0.0359889902189586,29.262164090163072
216,25,0.0325071544496689,36.10585505827667
216,30,0.0316180782799954,37.85337072401435
216,35,0.0293670597262916,42.27783998845112
216,40,0.0285970929226542,43.791241311476625
216,45,0.0231268656286414,54.543197350230585
216,50,0.0230982072043114,54.59952665831497
216,55,0.0211740136388006,58.381608007854034
216,60,0.018536372198532,63.56600040829481
216,65,0.0182541260758615,64.12076673516817
216,70,0.0181294624612106,64.36579818127018
216,75,0.017750418567597,65.11082449587181
216,80,0.0166817728889183,67.21129139433756
216,85,0.01461895492452,71.26584468382114
216,90,0.0143688442285052,71.75744751197357
216,95,0.0141957915868847,72.09758957464989
216,100,0.0130540128292302,74.34180253847332
216,105,0.0115897406247178,77.21988959509679
216,115,0.0100931807518347,80.16143938777432
216,125,0.010546048124728,79.27130999770964
216,135,0.0099727796334132,80.39809272276493
216,145,0.0100186701480752,80.30789303457617
216,150,0.0099485336745984,80.44574914895759
216,155,0.0094432895066905,81.43882727719702
216,165,0.009325733489653,81.66988844876143
216,175,0.008989818613647,82.33014291086269
216,185,0.0087635546521012,82.77487400464328
216,195,0.0087122460926263,82.87572308206454
216,200,0.0086366015169103,83.02440559724246
240,5,0.0519674313045934,0.0
240,10,0.0456610330193775,12.135289597541595
240,15,0.0381844207844534,26.522401000262096
240,20,0.0367655499525845,29.25270880314842
240,25,0.0331950496306688,36.12335880889558
240,30,0.0323004241240676,37.8448706945949
240,35,0.0299556045433989,42.35696513875773
240,40,0.0291611054505668,43.88580555454691
240,45,0.0235107894969089,54.758607638105865
240,50,0.023480151141028,54.81756447917296
240,55,0.0214813347474448,58.663851169518814
240,60,0.0187884726287554,63.845677654083545
240,65,0.018497574264277,64.40544818184615
240,70,0.0183617069807131,64.66689516922476
240,75,0.0179797097974264,65.40196552713358
