window,strategy_short,best_mae
168,Selective,0.0745774369526116
168,Selective+ConstOpt,0.0681596358895303
192,Selective,0.0746277258064356
192,Selective+ConstOpt,0.0682553100641202
216,Selective,0.074626528772287
216,Selective+ConstOpt,0.0682429412384994
240,Selective,0.0746264761431155
240,Selective+ConstOpt,0.0683279632352005
264,Selective,0.0744206964291992
264,Selective+ConstOpt,0.0680479499151033
