epoca,val_auc_roc,val_accuracy,perdida_discriminador,perdida_xerador,is_best
2,0.7415947474747473,0.4497435986995697,1.272945523262024,0.9439752101898193,1
4,0.7715550168350167,0.7570329904556274,1.1163722276687622,1.010123372077942,1
6,0.7557408585858586,0.4446520209312439,1.1904332637786865,1.1515307426452637,0
8,0.7670787946127946,0.4554944932460785,1.1225731372833252,1.2446985244750977,0
10,0.7677773872053871,0.7693406343460083,0.8568053245544434,1.5304316282272339,0
12,0.7705684444444445,0.44520145654678345,1.1568706035614014,1.211913824081421,0
14,0.7867243501683503,0.4779120981693268,1.129526138305664,1.2458616495132446,1
16,0.782283632996633,0.4795970618724823,1.1337387561798096,1.1310712099075317,0
18,0.7732156767676768,0.4561172127723694,1.0992828607559204,1.1708060503005981,0
20,0.7859152962962963,0.4525274634361267,1.0870459079742432,1.1754727363586426,0
22,0.7727782491582492,0.45644688606262207,1.0498192310333252,1.230211853981018,0
24,0.7975852121212121,0.44798535108566284,1.0938093662261963,1.1699292659759521,1
26,0.8022357171717172,0.457655668258667,1.0772005319595337,1.1978949308395386,1
28,0.8120721043771045,0.45413920283317566,1.0767253637313843,1.1872895956039429,1
30,0.8256433939393938,0.471208781003952,1.0479645729064941,1.189806342124939,1
32,0.833912606060606,0.5002930164337158,1.050092101097107,1.205676555633545,1
34,0.8369385824915825,0.4990842342376709,1.0381205081939697,1.225413203239441,1
36,0.8425321616161616,0.4998534917831421,1.0342919826507568,1.2294023036956787,1
38,0.8613411178451179,0.5266300439834595,0.9944613575935364,1.248450756072998,1
40,0.8651181717171719,0.526190459728241,1.0033724308013916,1.2534071207046509,1
42,0.8722747474747474,0.5327838659286499,0.9850746989250183,1.2596218585968018,1
44,0.8707675824915824,0.5322344303131104,0.9754398465156555,1.2912009954452515,0
46,0.8808433265993266,0.5407326221466064,0.9557743072509766,1.3414868116378784,1
48,0.8880668316498317,0.5442857146263123,0.9427851438522339,1.26838219165802,1
50,0.8853700202020202,0.5470329523086548,0.9557807445526123,1.312430739402771,0
52,0.8985508148148148,0.5455677509307861,0.9053084254264832,1.3587486743927002,1
54,0.8984749831649832,0.548864483833313,0.9125857353210449,1.3330087661743164,0
56,0.8913344747474746,0.5481318831443787,0.8797088861465454,1.3942443132400513,0
58,0.8903071212121212,0.5497069358825684,0.8774104118347168,1.3743988275527954,0
60,0.9118648956228956,0.5722710490226746,0.8305147886276245,1.4629390239715576,1
62,0.9071939494949495,0.5515750646591187,0.8633301258087158,1.418133020401001,0
64,0.9111685589225588,0.5516849756240845,0.8436597585678101,1.4312992095947266,0
66,0.9145392760942761,0.5552380681037903,0.8637908697128296,1.4186656475067139,1
