epoca,val_auc_roc,val_accuracy,perdida_discriminador,perdida_xerador,is_best
10,0.46248955555555554,0.39553114771842957,1.496291160583496,0.6863547563552856,1
20,0.5157839393939394,0.4891941249370575,1.3876760005950928,0.6746042370796204,1
30,0.5465831683501683,0.49531134963035583,1.3835378885269165,0.659324049949646,1
40,0.6420554713804714,0.4893406629562378,1.40097975730896,0.6426893472671509,1
50,0.6357825151515151,0.47684982419013977,1.4023637771606445,0.6376873850822449,0
60,0.6254233535353535,0.4605494439601898,1.3995943069458008,0.6416933536529541,0
70,0.6263645723905724,0.46032968163490295,1.398820161819458,0.6406116485595703,0
80,0.6293659225589225,0.4594871699810028,1.3920161724090576,0.6459721326828003,0
90,0.6274798148148149,0.45783883333206177,1.368499755859375,0.6667683124542236,0
100,0.6267925892255892,0.4558974504470825,1.3374156951904297,0.6935429573059082,0
110,0.6300321986531986,0.4557509124279022,1.317742109298706,0.716092586517334,0
120,0.6348757441077441,0.45388278365135193,1.3064323663711548,0.7219868898391724,0
130,0.6569693905723906,0.45340660214424133,1.3114020824432373,0.7161953449249268,1
140,0.6753545521885522,0.431538462638855,1.315430998802185,0.7085371017456055,1
150,0.7318980235690236,0.4270329773426056,1.3180112838745117,0.7063111066818237,1
160,0.727495026936027,0.44923076033592224,1.3265602588653564,0.6976333260536194,0
170,0.74269365993266,0.4506959617137909,1.3337249755859375,0.6874865889549255,1
180,0.7497744579124578,0.4483882784843445,1.3304898738861084,0.6913672089576721,1
190,0.7379796464646464,0.4332234561443329,1.3222904205322266,0.6959955096244812,0
200,0.7263232558922559,0.42897436022758484,1.331071138381958,0.6920595765113831,0
210,0.7260044814814814,0.42586079239845276,1.3358852863311768,0.6880040764808655,0
220,0.7203186498316498,0.40531134605407715,1.3291466236114502,0.6961819529533386,0
230,0.7176445454545454,0.5005128383636475,1.3146560192108154,0.7103412747383118,0
240,0.7112079696969698,0.5079120993614197,1.2918140888214111,0.731704592704773,0
